,vote,sponsors,history,sponser_parties_set(),"sponser_parties_{'D', 'R'}",sponser_parties_{'D'},"sponser_parties_{'I', 'D', 'R'}","sponser_parties_{'I', 'D'}","sponser_parties_{'I', 'R'}",sponser_parties_{'I'},sponser_parties_{'R'},bill_type_B,bill_type_CR,bill_type_JR,bill_type_R,body_H,body_S,status_1,status_2,status_3,status_4,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
26,1,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
27,2,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
28,1,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
29,2,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
30,2,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
31,3,0.0,0.0598669623059867,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0.00043956043957375383,0.7320835354686868,0.000439560439574604,0.0004395604395681328,0.00043956043956372887,0.00043956043956372887,0.00043956043957685584,0.0004395604395901216,0.00043956043958658596,0.00043956043956372887,0.00043956043956507756,0.00043956043956372887,0.00043956043956372887,0.00043956043956938797,0.00043956043956372887,0.00043956043956372887,0.0004395604395749597,0.011860620833150141,0.031713677487886414,0.00043956043957371616,0.00043956043956372887,0.00043956043956372887,0.00043956043956372887,0.21511139697928752,0.000439560439598683
32,1,0.0,0.0598669623059867,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0.00043956043957375383,0.7320835354686868,0.000439560439574604,0.0004395604395681328,0.00043956043956372887,0.00043956043956372887,0.00043956043957685584,0.0004395604395901216,0.00043956043958658596,0.00043956043956372887,0.00043956043956507756,0.00043956043956372887,0.00043956043956372887,0.00043956043956938797,0.00043956043956372887,0.00043956043956372887,0.0004395604395749597,0.011860620833150141,0.031713677487886414,0.00043956043957371616,0.00043956043956372887,0.00043956043956372887,0.00043956043956372887,0.21511139697928752,0.000439560439598683
33,1,0.0,0.028824833702882482,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.0004166666666732865,0.8298698448591527,0.0004166666666818437,0.011079284300574857,0.0004166666666732865,0.0004166666666732865,0.0004166666666795129,0.06871631411850594,0.00041666666673900976,0.0004166666666732865,0.000416666666834861,0.0004166666667077169,0.0004166666666815287,0.0004166666666732865,0.0004166666666983573,0.0004166666666732865,0.00041666666668288766,0.05976557582240049,0.01106146534667141,0.0004166666666862302,0.00041666666667332245,0.0004166666666732865,0.0004166666666753497,0.00041666666667921547,0.011590848885561543
34,3,0.0,0.0022172949002217295,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.0011111111111234947,0.9114559260513322,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.03521074061897415,0.0011111111111234947,0.0011111111111234947,0.0011111111111929645,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111375184,0.00111111111114555,0.0011111111111234947,0.0011111111111234947,0.028888888884864995,0.0011111111111234947,0.0011111111111234947,0.0011111111111264179,0.0011111111111268984
35,1,0.0,0.0022172949002217295,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.0011111111111234947,0.9114559260513322,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.03521074061897415,0.0011111111111234947,0.0011111111111234947,0.0011111111111929645,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111234947,0.0011111111111375184,0.00111111111114555,0.0011111111111234947,0.0011111111111234947,0.028888888884864995,0.0011111111111234947,0.0011111111111234947,0.0011111111111264179,0.0011111111111268984
